Social science research,345,0
Studies in history and philosophy of science,86,20
Annals of science,25,0
Journal of aging and health,123,0
Risk analysis : an official publication of the Society for Risk Analysis,177,52
Journal of microscopy,102,102
Solid state nuclear magnetic resonance,20,36
"Microscopy and microanalysis : the official journal of Microscopy Society of America, Microbeam Analysis Society, Microscopical Society of Canada",114,67
"Journal of magnetic resonance (San Diego, Calif. : 1997)",128,138
Faraday discussions,99,199
History of psychiatry,57,1
Physical review. E,144,778
Revue de la Societe francaise d'histoire des hopitaux,17,0
Nanotechnology,207,521
Berichte zur Wissenschaftsgeschichte,10,8
"Nonlinear dynamics, psychology, and life sciences",20,4
"Advanced materials (Deerfield Beach, Fla.)",364,450
Soft matter,541,383
Nanoscale,895,1274
Journal of the American Society for Mass Spectrometry,219,55
Neural computation,48,18
NTM,7,37
Mass spectrometry reviews,20,26
